name,protein,fats,carbs,calories,category
Печенье детское бегемотик Бонди с железом,8.4,11.5,70.0,403,30
Печенье детское бегемотик Бонди с йодом,8.4,11.5,70.0,403,30
Печенье детское бегемотик Бонди с кальцием,8.4,11.4,70.0,401,30
Печенье детское Расти большой овсяное,8.0,11.0,73.0,424,30
Печенье детское Расти большой с бананом,8.0,11.0,73.0,423,30
Печеньице детское Heinz,8.5,8.5,79.0,427,30
Печеньице детское Heinz 6 злаков,8.5,8.5,79.0,427,30
Печеньице детское Heinz Какао,9.0,8.0,79.5,426,30
Пудинг Heinz бананчик яблочко в сливках,8.5,4.1,78.0,384,30
Пудинг Heinz фруктовое ассорти в сливках,8.2,5.2,76.3,385,30
Пудинг ФрутоНяня ванильный,2.6,3.2,11.5,85,30
Пудинг ФрутоНяня шоколадный,2.9,3.4,12.0,89,30
Пшеничная каша Nestle молочная с бананом,15.0,10.0,66.0,414,30
Пшеничная каша Nestle молочная с тыквой,15.0,10.0,66.0,414,30
Пшеничная каша Nestle молочная с яблоком,15.0,10.0,66.0,414,30
Пшеничная каша Малютка молочная с тыквой,12.3,11.3,69.3,428,30
Пшеничная каша ФрутоНяня молочная с фруктами,1.2,0.0,15.0,65,30
Пшеничная кашка Heinz с молоком и тыквой,12.0,5.7,73.3,392,30
Пшеничная кашка ФрутоНяня молочная жидкая,2.2,2.0,10.1,66,30
Пшенично-кукурузная кашка Heinz персик банан вишенка молочная,12.1,10.0,69.0,414,30
Пшенично-овсяная кашка Heinz с фруктиками без молока,8.1,2.1,80.0,372,30
Пюре Gerber Абрикос с творогом,1.3,3.2,13.5,90,30
Пюре Gerber Абрикос со сливками,1.0,3.5,13.0,90,30
Пюре Gerber Банан,0.9,0.3,18.5,80,30
Пюре Gerber Банан и лесные ягоды,0.1,0.3,17.4,98,30
Пюре Gerber Банан с творогом,1.4,3.2,13.5,90,30
Пюре Gerber Банан со сливками,1.2,3.2,13.5,90,30
Пюре Gerber Бефстроганов с овощами,2.8,2.9,7.0,70,30
Пюре Gerber Говядина по-домашнему с морковью,2.8,2.9,7.0,70,30
Пюре Gerber Груша со сливками,0.9,3.0,14.9,85,30
Пюре Gerber Груши Вильямс,0.6,0.2,12.3,53,30
Пюре Gerber Зелёный горошек,3.3,0.3,5.0,36,30
Пюре Gerber Индейка по-домашнему с фенхелем,2.9,3.1,8.0,75,30
Пюре Gerber Клубника с творогом,1.1,3.4,12.5,85,30
Пюре Gerber Клубника со сливками,1.0,3.2,12.5,85,30
Пюре Gerber Морковь,1.0,0.2,5.1,27,30
Пюре Gerber Овощи с фрикадельками из говядины,2.6,2.6,9.1,70,30
Пюре Gerber Персик со сливками,1.2,3.2,13.5,90,30
Пюре Gerber Рагу из индейки с рисом,2.8,2.6,8.0,70,30
Пюре Gerber Спагетти с цыпленком,3.5,3.0,7.5,75,30
Пюре Gerber Филе сайды с овощами и рисом,3.7,2.9,8.0,75,30
Пюре Gerber Чернослив,1.0,0.3,16.7,74,30
Пюре Gerber Яблоко абрикос банан,0.7,0.1,15.5,66,30
Пюре Gerber Яблоко и черника,0.4,0.4,10.1,46,30
Пюре Gerber Яблоко с лесными ягодами,0.5,0.4,9.8,45,30
Пюре Gerber Яблоко с шиповником,1.5,0.2,12.0,52,30
Пюре Бабушкино Лукошко Абрикос,0.0,0.0,9.0,36,30
Пюре Бабушкино Лукошко Брокколи,0.0,0.0,3.3,13,30
Пюре Бабушкино Лукошко Говядина,8.5,12.0,0.0,140,30
Пюре Бабушкино Лукошко Говядина Кабачок,5.5,6.0,7.6,130,30
Пюре Бабушкино Лукошко Говядина Овощи,3.0,6.0,5.0,86,30
Пюре Бабушкино Лукошко Говядина Тыква,5.5,6.0,6.1,130,30
Пюре Бабушкино Лукошко Говядина Цветная капуста,3.0,6.0,6.5,92,30
Пюре Бабушкино Лукошко Горбуша Картофель,4.5,5.0,10.0,110,30
Пюре Бабушкино Лукошко Груша,0.0,0.0,9.5,40,30
Пюре Бабушкино Лукошко Груша Творог,0.5,1.7,9.0,53,30
Пюре Бабушкино Лукошко Груша Яблоко,0.0,0.0,9.5,40,30
Пюре Бабушкино Лукошко Индейка,8.5,12.0,0.0,140,30
Пюре Бабушкино Лукошко Кабачок Молоко,2.1,4.0,8.8,80,30
Пюре Бабушкино Лукошко Кабачок-Морковь Молоко,2.1,4.0,11.0,88,30
Пюре Бабушкино Лукошко Конина,8.5,9.0,0.0,131,30
Пюре Бабушкино Лукошко Кролик,8.5,11.0,2.4,143,30
Пюре Бабушкино Лукошко Кролик Овощи,3.0,6.0,5.0,86,30
Пюре Бабушкино Лукошко Кролик Цветная капуста,3.0,6.0,6.5,92,30
Пюре Бабушкино Лукошко Морковь Яблоко,0.0,0.0,12.0,48,30
Пюре Бабушкино Лукошко Мясо цыплят с гречкой,5.5,6.0,6.6,130,30
Пюре Бабушкино Лукошко Оленина,8.5,9.0,0.0,131,30
Пюре Бабушкино Лукошко Персик Творог,0.5,1.7,9.0,53,30
Пюре Бабушкино Лукошко Сёмга Овощи,8.5,11.0,2.4,143,30
Пюре Бабушкино Лукошко Треска Картофель,4.5,5.0,10.0,110,30
Пюре Бабушкино Лукошко Тыква,0.0,0.0,4.6,18,3
Пюре Бабушкино Лукошко Тыква Яблоко,0.0,0.0,12.1,48,30
Пюре Бабушкино Лукошко Тыква-Рис Молоко,1.5,4.0,13.0,94,30
Пюре Бабушкино Лукошко Цветная капуста,0.0,0.0,4.2,17,30
Пюре Бабушкино Лукошко Цыплёнок,7.0,9.0,7.0,137,30
Пюре Бабушкино Лукошко Цыплёнок Овощи,3.0,6.0,5.0,86,30
Пюре Бабушкино Лукошко Чернослив,0.0,0.0,23.7,95,30
Пюре Бабушкино Лукошко Чернослив Творог,0.5,1.7,9.0,53,30
Пюре Бабушкино Лукошко Яблоко,0.0,0.0,10.8,45,30
Пюре Бабушкино Лукошко Яблоко Абрикос,0.0,0.0,14.1,59,30
Пюре Бабушкино Лукошко Яблоко Слива,0.0,0.0,13.5,54,30
Пюре Бабушкино Лукошко Яблоко Сливки,0.6,1.0,14.0,66,30
Пюре Бабушкино Лукошко Яблоко Творог,0.5,1.7,12.0,65,30
Пюре Бабушкино Лукошко Яблоко Черника,0.0,0.0,16.9,68,30
Пюре из абрикосов,0.9,0.1,9.0,38,30
Пюре из апельсинов,0.9,0.2,8.5,40,30
Пюре из бананов,1.5,0.1,21.0,89,30
Пюре из брокколи,2.8,0.4,6.6,34,30
Пюре из вишни,0.9,0.2,10.9,57,30
Пюре из груш,0.2,0.0,13.0,52,30
Пюре из зеленого горошка,5.0,0.2,13.8,73,30
Пюре из кабачков,0.6,0.3,4.6,24,30
Пюре из клубники,0.5,0.1,14.9,60,30
Пюре из клюквы,0.5,0.0,6.2,27,30
Пюре из кукурузы,8.3,1.2,71.0,328,30
Пюре из малины,0.2,0.1,11.2,48,30
Пюре из манго,0.2,0.3,14.0,60,30
Пюре из моркови,0.7,0.1,5.0,24,30
Пюре из мяса,8.5,11.0,2.4,145,30
Пюре из овощей,0.9,0.1,5.6,24,30
Пюре из персиков,0.0,0.0,20.1,82,30
Пюре из свеклы,2.2,1.7,12.6,70,30
Пюре из слив,0.8,0.0,8.4,40,30
Пюре из томатов,3.6,0.0,11.8,66,30
Пюре из тыквы,1.7,6.2,6.3,88,30
Пюре из фруктов,0.0,0.0,14.4,60,30
Пюре из фруктов и овощей,0.4,0.1,12.2,52,30
Пюре из цветной капусты,1.6,0.7,5.4,33,30
Пюре из яблок,0.6,0.2,19.0,82,30
Пюре Спелёнок Груша с витамином С.,0.2,0.0,13.0,52,30
Пюре Спелёнок Груша с овсянкой,0.6,1.0,11.5,48,30
Пюре Спелёнок Морковь с витамином С.,0.0,0.0,7.0,28,30
Пюре Спелёнок Персик,0.0,0.0,13.0,52,30
Пюре Спелёнок Персик + Банан + Яблоко со сливками,0.0,1.5,16.0,77,30
Пюре Спелёнок Тыква с витамином С.,0.0,0.0,7.0,28,30
Пюре Спелёнок Яблоко + 4 злака,0.6,1.0,11.5,48,30
Пюре Спелёнок Яблоко + 4 злака со сливками,0.6,1.0,11.5,57,30
Пюре Спелёнок Яблоко + Груша + Персик с творогом,2.0,0.0,13.0,60,30
Пюре Спелёнок Яблоко + Груша + Слива со сливками,0.5,1.5,16.0,77,30
Пюре Спелёнок Яблоко + Клубника со сливками,0.5,1.5,16.0,77,30
Пюре Спелёнок Яблоко с витамином С.,0.3,0.0,11.0,44,30
Пюре Спелёнок Яблоко с творогом,2.0,0.0,15.0,68,30
Пюре Спелёнок Яблоко со сливками,0.0,1.5,16.0,77,30
Пюре Тёма Говядина с кабачками,5.0,6.0,5.9,100,30
Пюре Тёма Говядина с рисом,5.5,6.0,5.8,99,30
Пюре Тёма Говядина с сердцем,9.0,9.0,2.4,145,30
Пюре Тёма Говядина с языком,9.0,9.0,2.4,145,30
Пюре Тёма Кролик,8.5,11.0,2.4,143,30
Пюре Тёма Мясо цыплят с говядиной,10.0,12.0,3.5,162,30
Пюре Тёма Петушок,9.0,9.0,2.4,126,30
Пюре Тёма Свинина,8.5,11.0,2.4,143,30
Пюре ФрутоНяня Брокколи,1.0,0.0,4.0,20,30
Пюре ФрутоНяня Витаминный салатик,0.0,0.0,15.3,61,30
Пюре ФрутоНяня из говядины с печенью,10.0,7.0,0.0,103,30
Пюре ФрутоНяня из говядины с языком и сердцем,10.5,7.0,0.0,105,30
Пюре ФрутоНяня из мяса ягненка,13.5,10.0,0.0,144,30
Пюре ФрутоНяня из свинины,14.5,12.0,0.0,166,30
Пюре ФрутоНяня из слив,0.0,0.0,12.3,49,30
Пюре ФрутоНяня из телятины,12.5,6.0,0.0,104,30
Пюре ФрутоНяня из цветной капусты,1.0,0.0,4.0,20,30
